goos: darwin
goarch: arm64
pkg: benchmarks
cpu: Apple M4 Max
BenchmarkPatternMatching/Complex-16               	     237	   5154364 ns/op	   5654875 ns/pattern	    6592 B/op	      31 allocs/op
BenchmarkPatternMatching/Complex-16               	     230	   5032053 ns/op	   4971625 ns/pattern	    6592 B/op	      31 allocs/op
BenchmarkPatternMatching/Complex-16               	     236	   5327585 ns/op	   5918459 ns/pattern	    6592 B/op	      31 allocs/op
BenchmarkPatternMatching/JSON-16                  	     230	   5073265 ns/op	   6303542 ns/pattern	    6576 B/op	      31 allocs/op
BenchmarkPatternMatching/JSON-16                  	     236	   5587260 ns/op	   5609167 ns/pattern	    6576 B/op	      31 allocs/op
BenchmarkPatternMatching/JSON-16                  	     205	   5412074 ns/op	   4780375 ns/pattern	    6576 B/op	      31 allocs/op
BenchmarkPatternMatching/HTTP-16                  	     235	   5256500 ns/op	   5169708 ns/pattern	    6576 B/op	      31 allocs/op
BenchmarkPatternMatching/HTTP-16                  	     220	   5279100 ns/op	   6876292 ns/pattern	    6576 B/op	      31 allocs/op
BenchmarkPatternMatching/HTTP-16                  	     220	   5625635 ns/op	   5922334 ns/pattern	    6576 B/op	      31 allocs/op
BenchmarkEnvironmentVariables-16                  	     202	   5658696 ns/op	   5406083 ns/env-vars	    7392 B/op	      31 allocs/op
BenchmarkEnvironmentVariables-16                  	     201	   5903253 ns/op	   5490875 ns/env-vars	    7904 B/op	      31 allocs/op
BenchmarkEnvironmentVariables-16                  	     214	   5161758 ns/op	   5336666 ns/env-vars	    8416 B/op	      31 allocs/op
PASS
ok  	benchmarks	101.706s
